cohort	program_1	program_2	spearman_rho	bootstrap_ci_low	bootstrap_ci_high	bootstrap_sign_stability
GSE299988	TDS_16	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.151515151515151	-0.572459861713348	0.692307692307692	0.694
GSE299988	IODIDE_HANDLING_11	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.139393939393939	-0.687717563291139	0.490606097023595	0.68
GSE299988	CONDELLO_2025_SIX	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.0545454545454545	-0.660136884942656	0.615432098765432	0.565
GSE299988	TDS_16	HALLMARK_HYPOXIA	0.187878787878788	-0.475862068965517	0.775034937888199	0.706
GSE299988	IODIDE_HANDLING_11	HALLMARK_HYPOXIA	0.0787878787878788	-0.584905660377358	0.647853773584906	0.602
GSE299988	CONDELLO_2025_SIX	HALLMARK_HYPOXIA	-0.175757575757576	-0.688311688311688	0.552828658464217	0.688
GSE299988	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_HYPOXIA	0.43030303030303	-0.421517846412691	0.925011645962733	0.841
GSE299988	TDS_16	HALLMARK_ANGIOGENESIS	0.296969696969697	-0.37037037037037	0.821684269934693	0.814
GSE299988	IODIDE_HANDLING_11	HALLMARK_ANGIOGENESIS	0.0181818181818182	-0.623672710936862	0.673560049019608	0.505
GSE299988	CONDELLO_2025_SIX	HALLMARK_ANGIOGENESIS	0.0787878787878788	-0.572525040764035	0.786229930856674	0.588
GSE299988	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ANGIOGENESIS	0.951515151515151	0.69620253164557	1	1
GSE299988	HALLMARK_HYPOXIA	HALLMARK_ANGIOGENESIS	0.515151515151515	-0.270730527334301	0.923590914553539	0.915
GSE299988	TDS_16	HALLMARK_G2M_CHECKPOINT	0.454545454545455	-0.242734764693125	1	0.897
GSE299988	IODIDE_HANDLING_11	HALLMARK_G2M_CHECKPOINT	0.490909090909091	-0.237694575471698	0.9375	0.897
GSE299988	CONDELLO_2025_SIX	HALLMARK_G2M_CHECKPOINT	-0.0181818181818182	-0.602627388535032	0.801389429944163	0.505
GSE299988	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_G2M_CHECKPOINT	0.0424242424242424	-0.900904332200477	0.764927857935627	0.537
GSE299988	HALLMARK_HYPOXIA	HALLMARK_G2M_CHECKPOINT	0.709090909090909	0.106842685616271	0.97453423566879	0.986
GSE299988	HALLMARK_ANGIOGENESIS	HALLMARK_G2M_CHECKPOINT	0.103030303030303	-0.730896226415094	0.796242438809438	0.585
GSE299988	TDS_16	HALLMARK_E2F_TARGETS	0.442424242424242	-0.325	1	0.871
GSE299988	IODIDE_HANDLING_11	HALLMARK_E2F_TARGETS	0.587878787878788	-0.150549519170726	1	0.922
GSE299988	CONDELLO_2025_SIX	HALLMARK_E2F_TARGETS	0.2	-0.6	0.89875009951437	0.693
GSE299988	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_E2F_TARGETS	-0.333333333333333	-0.911949685534591	0.400031847133758	0.793
GSE299988	HALLMARK_HYPOXIA	HALLMARK_E2F_TARGETS	0.454545454545455	-0.125887247410426	0.801389429944163	0.94
GSE299988	HALLMARK_ANGIOGENESIS	HALLMARK_E2F_TARGETS	-0.212121212121212	-0.800033112582781	0.627329192546584	0.707
GSE299988	HALLMARK_G2M_CHECKPOINT	HALLMARK_E2F_TARGETS	0.818181818181818	0.324675324675325	1	0.996
GSE299988	TDS_16	HALLMARK_INFLAMMATORY_RESPONSE	0.284848484848485	-0.547310441814133	0.861699277894246	0.748
GSE299988	IODIDE_HANDLING_11	HALLMARK_INFLAMMATORY_RESPONSE	0.224242424242424	-0.617358180965776	0.8125	0.728
GSE299988	CONDELLO_2025_SIX	HALLMARK_INFLAMMATORY_RESPONSE	0.0666666666666667	-0.777777777777778	0.725816993464052	0.579
GSE299988	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	0.309090909090909	-0.396320754716981	0.8	0.786
GSE299988	HALLMARK_HYPOXIA	HALLMARK_INFLAMMATORY_RESPONSE	0.636363636363636	-0.161505681818182	0.923076923076923	0.965
GSE299988	HALLMARK_ANGIOGENESIS	HALLMARK_INFLAMMATORY_RESPONSE	0.333333333333333	-0.366574866205711	0.836477987421384	0.827
GSE299988	HALLMARK_G2M_CHECKPOINT	HALLMARK_INFLAMMATORY_RESPONSE	0.490909090909091	-0.145100235849057	0.873437624392962	0.943
GSE299988	HALLMARK_E2F_TARGETS	HALLMARK_INFLAMMATORY_RESPONSE	0.551515151515151	-0.115487421383648	0.896854838709677	0.955
