generic_program	rho_GSE151179	rho_GSE299988	rho_difference_299_minus_151	bootstrap_difference_ci_low	bootstrap_difference_ci_high
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.129901960784314	-0.0545454545454545	0.0753565062388592	-0.769144570932247	0.868537565748035
HALLMARK_HYPOXIA	0.036764705882353	-0.175757575757576	-0.212522281639929	-0.89905546850255	0.671655397303764
HALLMARK_ANGIOGENESIS	-0.389705882352941	0.0787878787878788	0.46849376114082	-0.457712124934336	1.30370663481929
HALLMARK_G2M_CHECKPOINT	0.316176470588235	-0.0181818181818182	-0.334358288770054	-1.05573912677377	0.52103692903271
HALLMARK_E2F_TARGETS	0.387254901960784	0.2	-0.187254901960784	-1.06209618639958	0.609517895823962
HALLMARK_INFLAMMATORY_RESPONSE	0.20343137254902	0.0666666666666667	-0.136764705882353	-1.04162638125374	0.747670945912325
