record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.1093/neuped/wuag026.211	citation_snowball		10.1093/neuped/wuag026.211	ID #555 Small molecule drug screening, chemoinformatics and integrative transcriptomics identify targetable MYC-dependent therapeutic vulnerabilities in high-risk medulloblastoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1093/oncolo/oyag158	citation_snowball		10.1093/oncolo/oyag158	Real-world outcomes and prognostic factors in anaplastic thyroid cancer: evidence from the REGETNE-Thyroid cohort	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1097/pas.0000000000002571	citation_snowball		10.1097/pas.0000000000002571	DLL3 Expression in a Genotyped Cohort of Sporadic Medullary Thyroid Carcinomas.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1101/2022.07.27.501733	Europe_PMC		10.1101/2022.07.27.501733	BRAF  <sup>V600E</sup>  expression in thyrocytes causes recruitment of immunosuppressive STABILIN-1 macrophages	exclude	non_human_or_preclinical_only	no	2026-07-12
doi:10.1101/2022.08.16.504041	Europe_PMC		10.1101/2022.08.16.504041	Effectors enabling adaptation to mitochondrial complex I loss in Hürthle cell carcinoma	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1101/2024.09.22.24314143	Semantic_Scholar_top100		10.1101/2024.09.22.24314143	Molecular and Proteomic Profiles of Radioiodine Refractory Papillary Thyroid Cancer	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1101/2025.01.14.633026	Semantic_Scholar_top100		10.1101/2025.01.14.633026	Transcriptomic signature reveals sensitivity to tubulin inhibitors in colon cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.11106/ijt.2020.13.1.1	Semantic_Scholar_top100		10.11106/ijt.2020.13.1.1	The Significance of Transcriptomic Signatures in the Multifocal Papillary Thyroid Carcinoma: Two mRNA Expression Patterns with Distinctive Clinical Behavior from The Cancer Genome Atlas (TCGA) Database	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1136/jcp-2026-210673	citation_snowball		10.1136/jcp-2026-210673	Clinical utility and prognostic value of GATA3 in epithelioid malignant mesothelioma: a practical and cost-effective approach for resource-limited settings.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1158/1538-7445.am2023-3915	Semantic_Scholar_top100		10.1158/1538-7445.am2023-3915	Abstract 3915: RNAseq analysis reveals differentiation gene drivers as potential therapeutic targets in anaplastic thyroid cancer	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1158/1538-7445.am2024-4354	Semantic_Scholar_top100		10.1158/1538-7445.am2024-4354	Abstract 4354: Long noncoding RNA DUXAP10 serves as a putative driver of carcinogenic transformation in anaplastic thyroid cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1158/1538-7445.am2024-4633	Semantic_Scholar_top100		10.1158/1538-7445.am2024-4633	Abstract 4633: Differentiation driver gene HOXD4 as a potential prognostic indicator and therapeutic target in anaplastic thyroid cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1158/1538-7445.am2024-5397	Semantic_Scholar_top100		10.1158/1538-7445.am2024-5397	Abstract 5397: Characteristics of cancer associated fibroblasts isolated from refractory colorectal cancer using RNA sequence	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1158/1538-7445.am2024-7059	Semantic_Scholar_top100		10.1158/1538-7445.am2024-7059	Abstract 7059: Remodeling of anaplastic thyroid cancer metabolic signature by natural alkaloid berberine	exclude	non_human_or_preclinical_only	no	2026-07-12
