pmid	doi	year	title	screening_stage	decision	primary_reason	full_text_assessed	freeze_date
42181184	10.3389/fendo.2026.1747769	2026	Efficacy and safety of 125I seed implantation combined with thyroid-stimulating hormone suppression therapy in cervical lymph node metastases of differentiated thyroid carcinoma.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
42312279	10.4103/jiaps.jiaps_425_25	2026	Is There a Role for External Radiation Therapy in Pediatric Differentiated Thyroid Cancer?	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41891970	10.3892/or.2026.9105	2026	[Retracted] Roles of the SNHG7/microRNA‑9‑5p/DPP4 ceRNA network in the growth and 131I resistance of thyroid carcinoma cells through PI3K/Akt activation.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42137348	10.3389/fendo.2026.1810839	2026	Postoperative serum oxidative stress measures in women with papillary thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42057062	10.1186/s12957-026-04371-x	2026	Surgical management of spinal metastases originating from thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
42046098	10.1186/s12967-026-08190-2	2026	Inhibition of ATM reverses radioiodine resistance in differentiated thyroid cancer via genotoxic stress amplification.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42043444	10.1007/s00335-026-10225-4	2026	Oncogenic role of LncRNA DLEU2 in thyroid cancer through a NAT10/USP39 regulatory axis.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41921036	10.1530/EC-25-0712	2026	Characterization of the patient profile and efficacy of empirical radioiodine therapy in differentiated thyroid cancer with biochemical evidence without identified iodine-avid structural metastatic disease.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41989876	10.1530/ERC-25-0424	2026	Value of TERT Promoter Mutations for Early Outcomes in Papillary Thyroid Cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41979698	10.1186/s13550-026-01414-y	2026	Assessing vascular inflammation during continuous TSH suppression in differentiated thyroid cancer: a longitudinal [18F]FDG PET/CT analysis.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41975028	10.1038/s41598-026-48310-y	2026	Positive prognostic implications of SPHK1 expression in patients with papillary thyroid carcinoma undergoing radioactive iodine therapy.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41942615	10.1038/s41598-026-47698-x	2026	Impact of delayed first radioiodine therapy on response evaluation in intermediate risk differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41992056	10.1002/cam4.71742	2026	Immunotherapy in Thyroid Cancer: Current Strategies and Challenges.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41969334	10.1016/j.eclinm.2026.103839	2026	A histo-clinical score to predict evolution to radioactive iodine-refractory of the follicular cell-derived thyroid carcinoma (PREDIRAIR): a single-centre, prospective, cohort study.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41889257	10.1002/acm2.70555	2026	Interpretable LightGBM model with SHAP analysis predicts non-excellent response to initial radioiodine therapy in differentiated thyroid carcinoma.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41649339	10.20945/2359-4292-2026-0008	2026	Immunotherapy response in microsatellite-stable poorly differentiated thyroid carcinoma with mismatch repair deficiency and high tumor mutational burden.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41539228	10.1016/j.cancergen.2026.01.005	2026	M6A methylation in thyroid cancer: Functions, mechanisms, and clinical significance.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41417201	10.1007/s12149-025-02137-1	2026	Clinical value of clinicopathological, ultrasonographic features and fibroblast activation protein in evaluating the radioiodine treatment efficacy in papillary thyroid carcinoma.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
42042023	10.3390/cimb48040362	2026	Molecular Mechanisms of Radioiodine Refractoriness in Differentiated Thyroid Cancer: Focus on Sodium/Iodide Symporter Dysregulation.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41969519	10.21037/tcr-2025-aw-2437	2026	Gene expression profile, and role of baicalein in the inhibition of thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41910579	10.23736/S1824-4785.26.03686-1	2026	FDG PET/CT imaging in recurrent papillary thyroid cancer: does BRAF mutation status matter?	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41891781	10.1210/clinem/dgag074	2026	Molecular Profile of Advanced Radioiodine-refractory Thyroid Cancer and Response to Lenvatinib Treatment.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41976284	10.3390/cancers18071058	2026	Unmeasurable Stimulated Thyroglobulin Before Radioactive Iodine Ablation Predicts Excellent Long-Term Outcomes in Patients with Differentiated Thyroid Cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41851192	10.1038/s41698-026-01371-8	2026	Impact of BRAF, TERT, and novel mutations on the efficacy of lenvatinib for advanced papillary thyroid cancer: A national genomic database analysis.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41877795	10.3389/fmed.2026.1790226	2026	Development and validation of a machine learning model for predicting high-risk distant metastatic recurrence in differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41801518	10.1007/s12020-025-04510-6	2026	MicroRNA signatures associated with radioiodine refractoriness and tumor dedifferentiation in metastatic papillary thyroid carcinoma.	title_abstract	advance_to_full_text	potentially_eligible	yes	2026-07-12
41858341	10.3389/fonc.2026.1748566	2026	Cabozantinib versus placebo in patients with radioiodine-refractory differentiated thyroid cancer after prior vascular endothelial growth factor receptor-targeted therapy (COSMIC-311): outcomes by BRAF status.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41679192	10.1016/j.ebiom.2026.106165	2026	Disulfiram metabolite Cu(DDC)2 enhances radionuclide uptake in vivo revealing insights into tumoural ablation resistance.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41761234	10.1186/s13046-026-03675-w	2026	Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and therapeutic intervention with resveratrol​.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41869262	10.7759/cureus.103878	2026	Two Cases of Papillary Thyroid Carcinoma With QTc Prolongation During Selpercatinib Administration: A Case Report.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41697514	10.1007/s12020-026-04563-1	2026	De-escalation strategies in the management of differentiated thyroid cancer.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41686570	10.1097/MD.0000000000047658	2026	Construction and evaluation of a SPECT-based radiomics nomogram for predicting the therapeutic response to radioactive iodine in patients with differentiated thyroid carcinoma.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41767494	10.3389/fmed.2026.1754058	2026	Advances in immunotherapy for thyroid malignancies: from molecular targets to clinical outcomes.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41627546	10.1007/s12020-025-04520-4	2026	The peripheral blood lymphocyte signatures forecast therapeutic efficacy in papillary thyroid cancer patients undergoing radioactive iodine therapy.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41681776	10.3390/diagnostics16030456	2026	Dynamic Thyroglobulin Ratio as a Biomarker to Identify Papillary Thyroid Cancer Patients Who Would Benefit from a Low-Iodine Diet.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
